Province/State,Country/Region,Date,Metric,Count
"Washington","US",2020-01-22,Confirmed,1
"Washington","US",2020-01-22,Deaths,0
"Washington","US",2020-01-22,Recovered,0
"Washington","US",2020-01-23,Confirmed,1
"Washington","US",2020-01-23,Deaths,0
"Washington","US",2020-01-23,Recovered,0
"Washington","US",2020-01-24,Confirmed,1
"Washington","US",2020-01-24,Deaths,0
"Washington","US",2020-01-24,Recovered,0
"Chicago","US",2020-01-24,Confirmed,1
"Chicago","US",2020-01-24,Deaths,0
"Chicago","US",2020-01-24,Recovered,0
"Washington","US",2020-01-25,Confirmed,1
"Washington","US",2020-01-25,Deaths,0
"Washington","US",2020-01-25,Recovered,0
"Illinois","US",2020-01-25,Confirmed,1
"Illinois","US",2020-01-25,Deaths,0
"Illinois","US",2020-01-25,Recovered,0
"Washington","US",2020-01-26,Confirmed,1
"Washington","US",2020-01-26,Deaths,0
"Washington","US",2020-01-26,Recovered,0
"Illinois","US",2020-01-26,Confirmed,1
"Illinois","US",2020-01-26,Deaths,0
"Illinois","US",2020-01-26,Recovered,0
"California","US",2020-01-26,Confirmed,2
"California","US",2020-01-26,Deaths,0
"California","US",2020-01-26,Recovered,0
"Arizona","US",2020-01-26,Confirmed,1
"Arizona","US",2020-01-26,Deaths,0
"Arizona","US",2020-01-26,Recovered,0
"Ontario","Canada",2020-01-26,Confirmed,1
"Ontario","Canada",2020-01-26,Deaths,0
"Ontario","Canada",2020-01-26,Recovered,0
"Washington","US",2020-01-27,Confirmed,1
"Washington","US",2020-01-27,Deaths,0
"Washington","US",2020-01-27,Recovered,0
"Illinois","US",2020-01-27,Confirmed,1
"Illinois","US",2020-01-27,Deaths,0
"Illinois","US",2020-01-27,Recovered,0
"California","US",2020-01-27,Confirmed,2
"California","US",2020-01-27,Deaths,0
"California","US",2020-01-27,Recovered,0
"Arizona","US",2020-01-27,Confirmed,1
"Arizona","US",2020-01-27,Deaths,0
"Arizona","US",2020-01-27,Recovered,0
"Ontario","Canada",2020-01-27,Confirmed,1
"Ontario","Canada",2020-01-27,Deaths,0
"Ontario","Canada",2020-01-27,Recovered,0
"Washington","US",2020-01-28,Confirmed,1
"Washington","US",2020-01-28,Deaths,0
"Washington","US",2020-01-28,Recovered,0
"Illinois","US",2020-01-28,Confirmed,1
"Illinois","US",2020-01-28,Deaths,0
"Illinois","US",2020-01-28,Recovered,0
"California","US",2020-01-28,Confirmed,2
"California","US",2020-01-28,Deaths,0
"California","US",2020-01-28,Recovered,0
"Arizona","US",2020-01-28,Confirmed,1
"Arizona","US",2020-01-28,Deaths,0
"Arizona","US",2020-01-28,Recovered,0
"Ontario","Canada",2020-01-28,Confirmed,1
"Ontario","Canada",2020-01-28,Deaths,0
"Ontario","Canada",2020-01-28,Recovered,0
"British Columbia","Canada",2020-01-28,Confirmed,1
"British Columbia","Canada",2020-01-28,Deaths,0
"British Columbia","Canada",2020-01-28,Recovered,0
"Washington","US",2020-01-29,Confirmed,1
"Washington","US",2020-01-29,Deaths,0
"Washington","US",2020-01-29,Recovered,0
"Illinois","US",2020-01-29,Confirmed,1
"Illinois","US",2020-01-29,Deaths,0
"Illinois","US",2020-01-29,Recovered,0
"California","US",2020-01-29,Confirmed,2
"California","US",2020-01-29,Deaths,0
"California","US",2020-01-29,Recovered,0
"Arizona","US",2020-01-29,Confirmed,1
"Arizona","US",2020-01-29,Deaths,0
"Arizona","US",2020-01-29,Recovered,0
"Ontario","Canada",2020-01-29,Confirmed,1
"Ontario","Canada",2020-01-29,Deaths,0
"Ontario","Canada",2020-01-29,Recovered,0
"British Columbia","Canada",2020-01-29,Confirmed,1
"British Columbia","Canada",2020-01-29,Deaths,0
"British Columbia","Canada",2020-01-29,Recovered,0
"Washington","US",2020-01-30,Confirmed,1
"Washington","US",2020-01-30,Deaths,0
"Washington","US",2020-01-30,Recovered,0
"Illinois","US",2020-01-30,Confirmed,1
"Illinois","US",2020-01-30,Deaths,0
"Illinois","US",2020-01-30,Recovered,0
"California","US",2020-01-30,Confirmed,2
"California","US",2020-01-30,Deaths,0
"California","US",2020-01-30,Recovered,0
"Arizona","US",2020-01-30,Confirmed,1
"Arizona","US",2020-01-30,Deaths,0
"Arizona","US",2020-01-30,Recovered,0
"Ontario","Canada",2020-01-30,Confirmed,2
"Ontario","Canada",2020-01-30,Deaths,0
"Ontario","Canada",2020-01-30,Recovered,0
"British Columbia","Canada",2020-01-30,Confirmed,1
"British Columbia","Canada",2020-01-30,Deaths,0
"British Columbia","Canada",2020-01-30,Recovered,0
"Illinois","US",2020-01-31,Confirmed,2
"Illinois","US",2020-01-31,Deaths,0
"Illinois","US",2020-01-31,Recovered,0
"California","US",2020-01-31,Confirmed,2
"California","US",2020-01-31,Deaths,0
"California","US",2020-01-31,Recovered,0
"Ontario","Canada",2020-01-31,Confirmed,2
"Ontario","Canada",2020-01-31,Deaths,0
"Ontario","Canada",2020-01-31,Recovered,0
"Washington","US",2020-01-31,Confirmed,1
"Washington","US",2020-01-31,Deaths,0
"Washington","US",2020-01-31,Recovered,0
"Arizona","US",2020-01-31,Confirmed,1
"Arizona","US",2020-01-31,Deaths,0
"Arizona","US",2020-01-31,Recovered,0
"British Columbia","Canada",2020-01-31,Confirmed,1
"British Columbia","Canada",2020-01-31,Deaths,0
"British Columbia","Canada",2020-01-31,Recovered,0
"Ontario","Canada",2020-02-01,Confirmed,3
"Ontario","Canada",2020-02-01,Deaths,0
"Ontario","Canada",2020-02-01,Recovered,0
"British Columbia","Canada",2020-02-01,Confirmed,1
"British Columbia","Canada",2020-02-01,Deaths,0
"British Columbia","Canada",2020-02-01,Recovered,0
"Ontario","Canada",2020-02-02,Confirmed,3
"Ontario","Canada",2020-02-02,Deaths,0
"Ontario","Canada",2020-02-02,Recovered,0
"British Columbia","Canada",2020-02-02,Confirmed,1
"British Columbia","Canada",2020-02-02,Deaths,0
"British Columbia","Canada",2020-02-02,Recovered,0
"Ontario","Canada",2020-02-03,Confirmed,3
"Ontario","Canada",2020-02-03,Deaths,0
"Ontario","Canada",2020-02-03,Recovered,0
"British Columbia","Canada",2020-02-03,Confirmed,1
"British Columbia","Canada",2020-02-03,Deaths,0
"British Columbia","Canada",2020-02-03,Recovered,0
"British Columbia","Canada",2020-02-04,Confirmed,1
"British Columbia","Canada",2020-02-04,Deaths,0
"British Columbia","Canada",2020-02-04,Recovered,0
"British Columbia","Canada",2020-02-05,Confirmed,2
"British Columbia","Canada",2020-02-05,Deaths,0
"British Columbia","Canada",2020-02-05,Recovered,0
"British Columbia","Canada",2020-02-06,Confirmed,2
"British Columbia","Canada",2020-02-06,Deaths,0
"British Columbia","Canada",2020-02-06,Recovered,0
"British Columbia","Canada",2020-02-07,Confirmed,4
"British Columbia","Canada",2020-02-07,Deaths,0
"British Columbia","Canada",2020-02-07,Recovered,0
"British Columbia","Canada",2020-02-08,Confirmed,4
"British Columbia","Canada",2020-02-08,Deaths,0
"British Columbia","Canada",2020-02-08,Recovered,0
"British Columbia","Canada",2020-02-09,Confirmed,4
"British Columbia","Canada",2020-02-09,Deaths,0
"British Columbia","Canada",2020-02-09,Recovered,0
"British Columbia","Canada",2020-02-10,Confirmed,4
"British Columbia","Canada",2020-02-10,Deaths,0
"British Columbia","Canada",2020-02-10,Recovered,0
"British Columbia","Canada",2020-02-11,Confirmed,4
"British Columbia","Canada",2020-02-11,Deaths,0
"British Columbia","Canada",2020-02-11,Recovered,0
"British Columbia","Canada",2020-02-12,Confirmed,4
"British Columbia","Canada",2020-02-12,Deaths,0
"British Columbia","Canada",2020-02-12,Recovered,0
"British Columbia","Canada",2020-02-13,Confirmed,4
"British Columbia","Canada",2020-02-13,Deaths,0
"British Columbia","Canada",2020-02-13,Recovered,0
"British Columbia","Canada",2020-02-14,Confirmed,4
"British Columbia","Canada",2020-02-14,Deaths,0
"British Columbia","Canada",2020-02-14,Recovered,0
"British Columbia","Canada",2020-02-15,Confirmed,4
"British Columbia","Canada",2020-02-15,Deaths,0
"British Columbia","Canada",2020-02-15,Recovered,0
"British Columbia","Canada",2020-02-16,Confirmed,4
"British Columbia","Canada",2020-02-16,Deaths,0
"British Columbia","Canada",2020-02-16,Recovered,0
"British Columbia","Canada",2020-02-17,Confirmed,5
"British Columbia","Canada",2020-02-17,Deaths,0
"British Columbia","Canada",2020-02-17,Recovered,0
"British Columbia","Canada",2020-02-18,Confirmed,5
"British Columbia","Canada",2020-02-18,Deaths,0
"British Columbia","Canada",2020-02-18,Recovered,0
"British Columbia","Canada",2020-02-19,Confirmed,5
"British Columbia","Canada",2020-02-19,Deaths,0
"British Columbia","Canada",2020-02-19,Recovered,0
"British Columbia","Canada",2020-02-20,Confirmed,5
"British Columbia","Canada",2020-02-20,Deaths,0
"British Columbia","Canada",2020-02-20,Recovered,0
"British Columbia","Canada",2020-02-21,Confirmed,6
"British Columbia","Canada",2020-02-21,Deaths,0
"British Columbia","Canada",2020-02-21,Recovered,0
"British Columbia","Canada",2020-02-22,Confirmed,6
"British Columbia","Canada",2020-02-22,Deaths,0
"British Columbia","Canada",2020-02-22,Recovered,0
"British Columbia","Canada",2020-02-23,Confirmed,6
"British Columbia","Canada",2020-02-23,Deaths,0
"British Columbia","Canada",2020-02-23,Recovered,0
"Unassigned Location (From Diamond Princess)","US",2020-02-24,Confirmed,36
"Unassigned Location (From Diamond Princess)","US",2020-02-24,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-02-24,Recovered,0
"British Columbia","Canada",2020-02-24,Confirmed,6
"British Columbia","Canada",2020-02-24,Deaths,0
"British Columbia","Canada",2020-02-24,Recovered,0
"Unassigned Location (From Diamond Princess)","US",2020-02-25,Confirmed,36
"Unassigned Location (From Diamond Princess)","US",2020-02-25,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-02-25,Recovered,0
"British Columbia","Canada",2020-02-25,Confirmed,7
"British Columbia","Canada",2020-02-25,Deaths,0
"British Columbia","Canada",2020-02-25,Recovered,0
"Unassigned Location (From Diamond Princess)","US",2020-02-26,Confirmed,42
"Unassigned Location (From Diamond Princess)","US",2020-02-26,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-02-26,Recovered,0
"British Columbia","Canada",2020-02-26,Confirmed,7
"British Columbia","Canada",2020-02-26,Deaths,0
"British Columbia","Canada",2020-02-26,Recovered,0
"Unassigned Location (From Diamond Princess)","US",2020-02-27,Confirmed,42
"Unassigned Location (From Diamond Princess)","US",2020-02-27,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-02-27,Recovered,0
"British Columbia","Canada",2020-02-27,Confirmed,7
"British Columbia","Canada",2020-02-27,Deaths,0
"British Columbia","Canada",2020-02-27,Recovered,3
"Unassigned Location (From Diamond Princess)","US",2020-02-28,Confirmed,44
"Unassigned Location (From Diamond Princess)","US",2020-02-28,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-02-28,Recovered,0
"British Columbia","Canada",2020-02-28,Confirmed,7
"British Columbia","Canada",2020-02-28,Deaths,0
"British Columbia","Canada",2020-02-28,Recovered,3
"Unassigned Location (From Diamond Princess)","US",2020-02-29,Confirmed,44
"Unassigned Location (From Diamond Princess)","US",2020-02-29,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-02-29,Recovered,0
"British Columbia","Canada",2020-02-29,Confirmed,8
"British Columbia","Canada",2020-02-29,Deaths,0
"British Columbia","Canada",2020-02-29,Recovered,3
"Unassigned Location (From Diamond Princess)","US",2020-03-01,Confirmed,44
"Unassigned Location (From Diamond Princess)","US",2020-03-01,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-03-01,Recovered,0
"British Columbia","Canada",2020-03-01,Confirmed,8
"British Columbia","Canada",2020-03-01,Deaths,0
"British Columbia","Canada",2020-03-01,Recovered,3
"Unassigned Location (From Diamond Princess)","US",2020-03-02,Confirmed,45
"Unassigned Location (From Diamond Princess)","US",2020-03-02,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-03-02,Recovered,0
"British Columbia","Canada",2020-03-02,Confirmed,8
"British Columbia","Canada",2020-03-02,Deaths,0
"British Columbia","Canada",2020-03-02,Recovered,3
"Unassigned Location (From Diamond Princess)","US",2020-03-03,Confirmed,45
"Unassigned Location (From Diamond Princess)","US",2020-03-03,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-03-03,Recovered,0
"British Columbia","Canada",2020-03-03,Confirmed,9
"British Columbia","Canada",2020-03-03,Deaths,0
"British Columbia","Canada",2020-03-03,Recovered,3
"Unassigned Location (From Diamond Princess)","US",2020-03-04,Confirmed,45
"Unassigned Location (From Diamond Princess)","US",2020-03-04,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-03-04,Recovered,0
"British Columbia","Canada",2020-03-04,Confirmed,12
"British Columbia","Canada",2020-03-04,Deaths,0
"British Columbia","Canada",2020-03-04,Recovered,3
"Unassigned Location (From Diamond Princess)","US",2020-03-05,Confirmed,45
"Unassigned Location (From Diamond Princess)","US",2020-03-05,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-03-05,Recovered,0
"British Columbia","Canada",2020-03-05,Confirmed,13
"British Columbia","Canada",2020-03-05,Deaths,0
"British Columbia","Canada",2020-03-05,Recovered,3
"Unassigned Location (From Diamond Princess)","US",2020-03-06,Confirmed,45
"Unassigned Location (From Diamond Princess)","US",2020-03-06,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-03-06,Recovered,0
"British Columbia","Canada",2020-03-06,Confirmed,21
"British Columbia","Canada",2020-03-06,Deaths,0
"British Columbia","Canada",2020-03-06,Recovered,3
"Unassigned Location (From Diamond Princess)","US",2020-03-07,Confirmed,45
"Unassigned Location (From Diamond Princess)","US",2020-03-07,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-03-07,Recovered,0
"British Columbia","Canada",2020-03-07,Confirmed,21
"British Columbia","Canada",2020-03-07,Deaths,0
"British Columbia","Canada",2020-03-07,Recovered,4
"Grand Princess Cruise Ship","US",2020-03-07,Confirmed,21
"Grand Princess Cruise Ship","US",2020-03-07,Deaths,0
"Grand Princess Cruise Ship","US",2020-03-07,Recovered,0
"Unassigned Location (From Diamond Princess)","US",2020-03-08,Confirmed,45
"Unassigned Location (From Diamond Princess)","US",2020-03-08,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-03-08,Recovered,0
"British Columbia","Canada",2020-03-08,Confirmed,27
"British Columbia","Canada",2020-03-08,Deaths,0
"British Columbia","Canada",2020-03-08,Recovered,4
"Grand Princess Cruise Ship","US",2020-03-08,Confirmed,21
"Grand Princess Cruise Ship","US",2020-03-08,Deaths,0
"Grand Princess Cruise Ship","US",2020-03-08,Recovered,0
"Unassigned Location (From Diamond Princess)","US",2020-03-09,Confirmed,45
"Unassigned Location (From Diamond Princess)","US",2020-03-09,Deaths,0
"Unassigned Location (From Diamond Princess)","US",2020-03-09,Recovered,0
"Ontario","Canada",2020-03-09,Confirmed,34
"Ontario","Canada",2020-03-09,Deaths,0
"Ontario","Canada",2020-03-09,Recovered,4
"British Columbia","Canada",2020-03-09,Confirmed,32
"British Columbia","Canada",2020-03-09,Deaths,1
"British Columbia","Canada",2020-03-09,Recovered,4
"Grand Princess Cruise Ship","US",2020-03-09,Confirmed,21
"Grand Princess Cruise Ship","US",2020-03-09,Deaths,0
"Grand Princess Cruise Ship","US",2020-03-09,Recovered,0
"Alberta","Canada",2020-03-09,Confirmed,7
"Alberta","Canada",2020-03-09,Deaths,0
"Alberta","Canada",2020-03-09,Recovered,0
"Quebec","Canada",2020-03-09,Confirmed,3
"Quebec","Canada",2020-03-09,Deaths,0
"Quebec","Canada",2020-03-09,Recovered,0
"Washington","US",2020-03-10,Confirmed,267
"Washington","US",2020-03-10,Deaths,23
"Washington","US",2020-03-10,Recovered,1
"New York","US",2020-03-10,Confirmed,173
"New York","US",2020-03-10,Deaths,0
"New York","US",2020-03-10,Recovered,0
"California","US",2020-03-10,Confirmed,144
"California","US",2020-03-10,Deaths,2
"California","US",2020-03-10,Recovered,2
"Massachusetts","US",2020-03-10,Confirmed,92
"Massachusetts","US",2020-03-10,Deaths,0
"Massachusetts","US",2020-03-10,Recovered,1
"Diamond Princess","US",2020-03-10,Confirmed,46
"Diamond Princess","US",2020-03-10,Deaths,0
"Diamond Princess","US",2020-03-10,Recovered,0
"Ontario","Canada",2020-03-10,Confirmed,36
"Ontario","Canada",2020-03-10,Deaths,0
"Ontario","Canada",2020-03-10,Recovered,4
"British Columbia","Canada",2020-03-10,Confirmed,32
"British Columbia","Canada",2020-03-10,Deaths,1
"British Columbia","Canada",2020-03-10,Recovered,4
"Georgia","US",2020-03-10,Confirmed,17
"Georgia","US",2020-03-10,Deaths,0
"Georgia","US",2020-03-10,Recovered,0
"Colorado","US",2020-03-10,Confirmed,15
"Colorado","US",2020-03-10,Deaths,0
"Colorado","US",2020-03-10,Recovered,0
"Florida","US",2020-03-10,Confirmed,15
"Florida","US",2020-03-10,Deaths,2
"Florida","US",2020-03-10,Recovered,0
"New Jersey","US",2020-03-10,Confirmed,15
"New Jersey","US",2020-03-10,Deaths,1
"New Jersey","US",2020-03-10,Recovered,0
"Oregon","US",2020-03-10,Confirmed,15
"Oregon","US",2020-03-10,Deaths,0
"Oregon","US",2020-03-10,Recovered,0
"Texas","US",2020-03-10,Confirmed,13
"Texas","US",2020-03-10,Deaths,0
"Texas","US",2020-03-10,Recovered,0
"Illinois","US",2020-03-10,Confirmed,12
"Illinois","US",2020-03-10,Deaths,0
"Illinois","US",2020-03-10,Recovered,2
"Pennsylvania","US",2020-03-10,Confirmed,12
"Pennsylvania","US",2020-03-10,Deaths,0
"Pennsylvania","US",2020-03-10,Recovered,0
"Iowa","US",2020-03-10,Confirmed,8
"Iowa","US",2020-03-10,Deaths,0
"Iowa","US",2020-03-10,Recovered,0
"Maryland","US",2020-03-10,Confirmed,8
"Maryland","US",2020-03-10,Deaths,0
"Maryland","US",2020-03-10,Recovered,0
"Alberta","Canada",2020-03-10,Confirmed,7
"Alberta","Canada",2020-03-10,Deaths,0
"Alberta","Canada",2020-03-10,Recovered,0
"North Carolina","US",2020-03-10,Confirmed,7
"North Carolina","US",2020-03-10,Deaths,0
"North Carolina","US",2020-03-10,Recovered,0
"South Carolina","US",2020-03-10,Confirmed,7
"South Carolina","US",2020-03-10,Deaths,0
"South Carolina","US",2020-03-10,Recovered,0
"Tennessee","US",2020-03-10,Confirmed,7
"Tennessee","US",2020-03-10,Deaths,0
"Tennessee","US",2020-03-10,Recovered,0
"Virginia","US",2020-03-10,Confirmed,7
"Virginia","US",2020-03-10,Deaths,0
"Virginia","US",2020-03-10,Recovered,0
"Arizona","US",2020-03-10,Confirmed,6
"Arizona","US",2020-03-10,Deaths,0
"Arizona","US",2020-03-10,Recovered,1
"Indiana","US",2020-03-10,Confirmed,6
"Indiana","US",2020-03-10,Deaths,0
"Indiana","US",2020-03-10,Recovered,0
"Kentucky","US",2020-03-10,Confirmed,6
"Kentucky","US",2020-03-10,Deaths,0
"Kentucky","US",2020-03-10,Recovered,0
"District of Columbia","US",2020-03-10,Confirmed,5
"District of Columbia","US",2020-03-10,Deaths,0
"District of Columbia","US",2020-03-10,Recovered,0
"Quebec","Canada",2020-03-10,Confirmed,4
"Quebec","Canada",2020-03-10,Deaths,0
"Quebec","Canada",2020-03-10,Recovered,0
"Nevada","US",2020-03-10,Confirmed,4
"Nevada","US",2020-03-10,Deaths,0
"Nevada","US",2020-03-10,Recovered,0
"New Hampshire","US",2020-03-10,Confirmed,4
"New Hampshire","US",2020-03-10,Deaths,0
"New Hampshire","US",2020-03-10,Recovered,0
"Minnesota","US",2020-03-10,Confirmed,3
"Minnesota","US",2020-03-10,Deaths,0
"Minnesota","US",2020-03-10,Recovered,0
"Nebraska","US",2020-03-10,Confirmed,3
"Nebraska","US",2020-03-10,Deaths,0
"Nebraska","US",2020-03-10,Recovered,0
"Ohio","US",2020-03-10,Confirmed,3
"Ohio","US",2020-03-10,Deaths,0
"Ohio","US",2020-03-10,Recovered,0
"Rhode Island","US",2020-03-10,Confirmed,3
"Rhode Island","US",2020-03-10,Deaths,0
"Rhode Island","US",2020-03-10,Recovered,0
"Wisconsin","US",2020-03-10,Confirmed,3
"Wisconsin","US",2020-03-10,Deaths,0
"Wisconsin","US",2020-03-10,Recovered,1
"Connecticut","US",2020-03-10,Confirmed,2
"Connecticut","US",2020-03-10,Deaths,0
"Connecticut","US",2020-03-10,Recovered,0
"Hawaii","US",2020-03-10,Confirmed,2
"Hawaii","US",2020-03-10,Deaths,0
"Hawaii","US",2020-03-10,Recovered,0
"Oklahoma","US",2020-03-10,Confirmed,2
"Oklahoma","US",2020-03-10,Deaths,0
"Oklahoma","US",2020-03-10,Recovered,0
"Utah","US",2020-03-10,Confirmed,2
"Utah","US",2020-03-10,Deaths,0
"Utah","US",2020-03-10,Recovered,0
"Kansas","US",2020-03-10,Confirmed,1
"Kansas","US",2020-03-10,Deaths,0
"Kansas","US",2020-03-10,Recovered,0
"Louisiana","US",2020-03-10,Confirmed,1
"Louisiana","US",2020-03-10,Deaths,0
"Louisiana","US",2020-03-10,Recovered,0
"Missouri","US",2020-03-10,Confirmed,1
"Missouri","US",2020-03-10,Deaths,0
"Missouri","US",2020-03-10,Recovered,0
"Vermont","US",2020-03-10,Confirmed,1
"Vermont","US",2020-03-10,Deaths,0
"Vermont","US",2020-03-10,Recovered,0
"Alaska","US",2020-03-10,Confirmed,0
"Alaska","US",2020-03-10,Deaths,0
"Alaska","US",2020-03-10,Recovered,0
"Arkansas","US",2020-03-10,Confirmed,0
