Province/State,Country/Region,Date,Metric,Count
"Washington","US",2020-01-22,Confirmed,1
"Washington","US",2020-01-23,Confirmed,1
"Washington","US",2020-01-24,Confirmed,1
"Chicago","US",2020-01-24,Confirmed,1
"Washington","US",2020-01-25,Confirmed,1
"Illinois","US",2020-01-25,Confirmed,1
"Washington","US",2020-01-26,Confirmed,1
"Illinois","US",2020-01-26,Confirmed,1
"California","US",2020-01-26,Confirmed,2
"Arizona","US",2020-01-26,Confirmed,1
"Ontario","Canada",2020-01-26,Confirmed,1
"Washington","US",2020-01-27,Confirmed,1
"Illinois","US",2020-01-27,Confirmed,1
"California","US",2020-01-27,Confirmed,2
"Arizona","US",2020-01-27,Confirmed,1
"Ontario","Canada",2020-01-27,Confirmed,1
"Washington","US",2020-01-28,Confirmed,1
"Illinois","US",2020-01-28,Confirmed,1
"California","US",2020-01-28,Confirmed,2
"Arizona","US",2020-01-28,Confirmed,1
"Ontario","Canada",2020-01-28,Confirmed,1
"British Columbia","Canada",2020-01-28,Confirmed,1
"Washington","US",2020-01-29,Confirmed,1
"Illinois","US",2020-01-29,Confirmed,1
"California","US",2020-01-29,Confirmed,2
"Arizona","US",2020-01-29,Confirmed,1
"Ontario","Canada",2020-01-29,Confirmed,1
"British Columbia","Canada",2020-01-29,Confirmed,1
"Washington","US",2020-01-30,Confirmed,1
"Illinois","US",2020-01-30,Confirmed,1
"California","US",2020-01-30,Confirmed,2
"Arizona","US",2020-01-30,Confirmed,1
"Ontario","Canada",2020-01-30,Confirmed,2
"British Columbia","Canada",2020-01-30,Confirmed,1
"Illinois","US",2020-01-31,Confirmed,2
"California","US",2020-01-31,Confirmed,2
"Ontario","Canada",2020-01-31,Confirmed,2
"Washington","US",2020-01-31,Confirmed,1
"Arizona","US",2020-01-31,Confirmed,1
"British Columbia","Canada",2020-01-31,Confirmed,1
"Ontario","Canada",2020-02-01,Confirmed,3
"British Columbia","Canada",2020-02-01,Confirmed,1
"Ontario","Canada",2020-02-02,Confirmed,3
"British Columbia","Canada",2020-02-02,Confirmed,1
"Ontario","Canada",2020-02-03,Confirmed,3
"British Columbia","Canada",2020-02-03,Confirmed,1
"British Columbia","Canada",2020-02-04,Confirmed,1
"British Columbia","Canada",2020-02-05,Confirmed,2
"British Columbia","Canada",2020-02-06,Confirmed,2
"British Columbia","Canada",2020-02-07,Confirmed,4
"British Columbia","Canada",2020-02-08,Confirmed,4
"British Columbia","Canada",2020-02-09,Confirmed,4
"British Columbia","Canada",2020-02-10,Confirmed,4
"British Columbia","Canada",2020-02-11,Confirmed,4
"British Columbia","Canada",2020-02-12,Confirmed,4
"British Columbia","Canada",2020-02-13,Confirmed,4
"British Columbia","Canada",2020-02-14,Confirmed,4
"British Columbia","Canada",2020-02-15,Confirmed,4
"British Columbia","Canada",2020-02-16,Confirmed,4
"British Columbia","Canada",2020-02-17,Confirmed,5
"British Columbia","Canada",2020-02-18,Confirmed,5
"British Columbia","Canada",2020-02-19,Confirmed,5
"British Columbia","Canada",2020-02-20,Confirmed,5
"British Columbia","Canada",2020-02-21,Confirmed,6
"British Columbia","Canada",2020-02-22,Confirmed,6
"British Columbia","Canada",2020-02-23,Confirmed,6
"Unassigned Location (From Diamond Princess)","US",2020-02-24,Confirmed,36
"British Columbia","Canada",2020-02-24,Confirmed,6
"Unassigned Location (From Diamond Princess)","US",2020-02-25,Confirmed,36
"British Columbia","Canada",2020-02-25,Confirmed,7
"Unassigned Location (From Diamond Princess)","US",2020-02-26,Confirmed,42
"British Columbia","Canada",2020-02-26,Confirmed,7
"Unassigned Location (From Diamond Princess)","US",2020-02-27,Confirmed,42
"British Columbia","Canada",2020-02-27,Confirmed,7
"Unassigned Location (From Diamond Princess)","US",2020-02-28,Confirmed,44
"British Columbia","Canada",2020-02-28,Confirmed,7
"Unassigned Location (From Diamond Princess)","US",2020-02-29,Confirmed,44
"British Columbia","Canada",2020-02-29,Confirmed,8
"Unassigned Location (From Diamond Princess)","US",2020-03-01,Confirmed,44
"British Columbia","Canada",2020-03-01,Confirmed,8
"Unassigned Location (From Diamond Princess)","US",2020-03-02,Confirmed,45
"British Columbia","Canada",2020-03-02,Confirmed,8
"Unassigned Location (From Diamond Princess)","US",2020-03-03,Confirmed,45
"British Columbia","Canada",2020-03-03,Confirmed,9
"Unassigned Location (From Diamond Princess)","US",2020-03-04,Confirmed,45
"British Columbia","Canada",2020-03-04,Confirmed,12
"Unassigned Location (From Diamond Princess)","US",2020-03-05,Confirmed,45
"British Columbia","Canada",2020-03-05,Confirmed,13
"Unassigned Location (From Diamond Princess)","US",2020-03-06,Confirmed,45
"British Columbia","Canada",2020-03-06,Confirmed,21
"Unassigned Location (From Diamond Princess)","US",2020-03-07,Confirmed,45
"British Columbia","Canada",2020-03-07,Confirmed,21
"Grand Princess Cruise Ship","US",2020-03-07,Confirmed,21
"Unassigned Location (From Diamond Princess)","US",2020-03-08,Confirmed,45
"British Columbia","Canada",2020-03-08,Confirmed,27
"Grand Princess Cruise Ship","US",2020-03-08,Confirmed,21
"Unassigned Location (From Diamond Princess)","US",2020-03-09,Confirmed,45
"Ontario","Canada",2020-03-09,Confirmed,34
"British Columbia","Canada",2020-03-09,Confirmed,32
"Grand Princess Cruise Ship","US",2020-03-09,Confirmed,21
"Alberta","Canada",2020-03-09,Confirmed,7
"Quebec","Canada",2020-03-09,Confirmed,3
"Washington","US",2020-03-10,Confirmed,267
"New York","US",2020-03-10,Confirmed,173
"California","US",2020-03-10,Confirmed,144
"Massachusetts","US",2020-03-10,Confirmed,92
"Diamond Princess","US",2020-03-10,Confirmed,46
"Ontario","Canada",2020-03-10,Confirmed,36
"British Columbia","Canada",2020-03-10,Confirmed,32
"Georgia","US",2020-03-10,Confirmed,17
"Colorado","US",2020-03-10,Confirmed,15
"Florida","US",2020-03-10,Confirmed,15
"New Jersey","US",2020-03-10,Confirmed,15
"Oregon","US",2020-03-10,Confirmed,15
"Texas","US",2020-03-10,Confirmed,13
"Illinois","US",2020-03-10,Confirmed,12
"Pennsylvania","US",2020-03-10,Confirmed,12
"Iowa","US",2020-03-10,Confirmed,8
"Maryland","US",2020-03-10,Confirmed,8
"Alberta","Canada",2020-03-10,Confirmed,7
"North Carolina","US",2020-03-10,Confirmed,7
"South Carolina","US",2020-03-10,Confirmed,7
"Tennessee","US",2020-03-10,Confirmed,7
"Virginia","US",2020-03-10,Confirmed,7
"Arizona","US",2020-03-10,Confirmed,6
"Indiana","US",2020-03-10,Confirmed,6
"Kentucky","US",2020-03-10,Confirmed,6
"District of Columbia","US",2020-03-10,Confirmed,5
"Quebec","Canada",2020-03-10,Confirmed,4
"Nevada","US",2020-03-10,Confirmed,4
"New Hampshire","US",2020-03-10,Confirmed,4
"Minnesota","US",2020-03-10,Confirmed,3
"Nebraska","US",2020-03-10,Confirmed,3
"Ohio","US",2020-03-10,Confirmed,3
"Rhode Island","US",2020-03-10,Confirmed,3
"Wisconsin","US",2020-03-10,Confirmed,3
"Connecticut","US",2020-03-10,Confirmed,2
"Hawaii","US",2020-03-10,Confirmed,2
"Oklahoma","US",2020-03-10,Confirmed,2
"Utah","US",2020-03-10,Confirmed,2
"Kansas","US",2020-03-10,Confirmed,1
"Louisiana","US",2020-03-10,Confirmed,1
"Missouri","US",2020-03-10,Confirmed,1
"Vermont","US",2020-03-10,Confirmed,1
"Alaska","US",2020-03-10,Confirmed,0
"Arkansas","US",2020-03-10,Confirmed,0
"Delaware","US",2020-03-10,Confirmed,0
